epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9861,1.76428,2.35618,1.71174,0.42459,0.32387,0.30164,0.11777,2.03258,2.22793,2.07561,0.000473657,0.000473657,0.000473657
2,154.866,1.7223,1.95318,1.70108,0.34362,0.31861,0.25297,0.08901,2.20767,2.24863,2.20983,0.000940586,0.000940586,0.000940586
3,242.489,1.75323,1.93566,1.74435,0.35608,0.29009,0.25339,0.08296,2.20419,2.49545,2.24425,0.00139808,0.00139808,0.00139808
4,332.937,1.72162,1.83971,1.70932,0.40491,0.36696,0.33617,0.15384,1.96156,1.94508,1.98901,0.00138656,0.00138656,0.00138656
5,422.795,1.67334,1.74768,1.6806,0.42794,0.37865,0.3461,0.14682,2.03781,2.00666,2.02334,0.00137241,0.00137241,0.00137241
6,513.575,1.66271,1.73329,1.66776,0.47825,0.39881,0.3757,0.16989,1.95845,1.74778,1.99984,0.00135826,0.00135826,0.00135826
7,603.726,1.62166,1.65647,1.65179,0.51758,0.4032,0.39412,0.16416,2.06498,1.70065,2.02957,0.00134412,0.00134412,0.00134412
8,693.69,1.5975,1.60757,1.61975,0.47714,0.37157,0.36273,0.17732,1.88832,1.80315,1.86581,0.00132997,0.00132997,0.00132997
9,784.053,1.60161,1.58901,1.61708,0.50751,0.43424,0.42159,0.20391,1.82655,1.62328,1.81758,0.00131582,0.00131582,0.00131582
10,874.604,1.58114,1.55557,1.61098,0.52524,0.44506,0.40313,0.18384,1.97913,1.67648,1.97057,0.00130168,0.00130168,0.00130168
11,964.839,1.56632,1.52168,1.59273,0.52159,0.45084,0.42601,0.19853,1.92953,1.58239,1.94895,0.00128753,0.00128753,0.00128753
12,1054.94,1.55006,1.51997,1.59023,0.50409,0.41448,0.40551,0.1939,1.87487,1.63201,1.87487,0.00127338,0.00127338,0.00127338
13,1145.24,1.54274,1.47497,1.56735,0.55398,0.44894,0.45593,0.23058,1.82032,1.57174,1.83182,0.00125923,0.00125923,0.00125923
14,1235.6,1.53141,1.45375,1.56223,0.53828,0.4525,0.44153,0.2213,1.81349,1.54009,1.80525,0.00124509,0.00124509,0.00124509
15,1325.54,1.52446,1.44235,1.55468,0.53026,0.46188,0.44717,0.2217,1.8206,1.51961,1.80095,0.00123094,0.00123094,0.00123094
16,1415.87,1.51194,1.41537,1.54769,0.53496,0.42911,0.43923,0.21021,1.85158,1.50395,1.9107,0.00121679,0.00121679,0.00121679
17,1506.02,1.49892,1.39115,1.53428,0.54627,0.44574,0.44607,0.23137,1.72209,1.452,1.74707,0.00120265,0.00120265,0.00120265
18,1596.32,1.49141,1.37633,1.52554,0.55684,0.47386,0.47425,0.24296,1.73166,1.39389,1.76345,0.0011885,0.0011885,0.0011885
19,1686.6,1.476,1.34849,1.52143,0.55191,0.45001,0.46029,0.23477,1.78683,1.40874,1.77518,0.00117435,0.00117435,0.00117435
20,1776.85,1.48406,1.33926,1.51907,0.55817,0.47758,0.46311,0.23933,1.75948,1.41077,1.76224,0.00116021,0.00116021,0.00116021
21,1867.06,1.48364,1.35019,1.51982,0.52955,0.46483,0.45821,0.23448,1.7763,1.50594,1.79283,0.00114606,0.00114606,0.00114606
22,1957.59,1.4589,1.31081,1.49568,0.57132,0.47973,0.47052,0.23665,1.80117,1.39393,1.79568,0.00113191,0.00113191,0.00113191
23,2047.74,1.46831,1.32219,1.50978,0.55413,0.48893,0.47512,0.24339,1.75292,1.40131,1.79551,0.00111776,0.00111776,0.00111776
24,2137.85,1.43791,1.28588,1.49754,0.57624,0.46423,0.46629,0.24114,1.74038,1.41933,1.78161,0.00110362,0.00110362,0.00110362
25,2228.12,1.44389,1.28817,1.49071,0.59836,0.47855,0.47487,0.25215,1.72206,1.35206,1.75885,0.00108947,0.00108947,0.00108947
26,2318.39,1.43468,1.2602,1.47853,0.57909,0.48504,0.47565,0.24894,1.76617,1.41379,1.7881,0.00107532,0.00107532,0.00107532
27,2408.9,1.41857,1.25338,1.46516,0.56664,0.47416,0.46151,0.24956,1.69077,1.37262,1.7408,0.00106118,0.00106118,0.00106118
28,2499.24,1.41796,1.23142,1.4636,0.54319,0.47777,0.45644,0.22958,1.81591,1.40166,1.80374,0.00104703,0.00104703,0.00104703
29,2589.34,1.41291,1.2326,1.47223,0.60488,0.4968,0.47525,0.25337,1.76287,1.3271,1.7865,0.00103288,0.00103288,0.00103288
30,2679.63,1.39683,1.1984,1.44982,0.59681,0.4778,0.48387,0.24987,1.7633,1.34751,1.78317,0.00101873,0.00101873,0.00101873
31,2769.74,1.41907,1.24438,1.47093,0.56671,0.4957,0.46988,0.22343,1.88185,1.38204,1.88537,0.00100459,0.00100459,0.00100459
32,2859.77,1.39146,1.20044,1.44759,0.56832,0.48185,0.47559,0.25319,1.7329,1.35242,1.71948,0.00099044,0.00099044,0.00099044
33,2949.57,1.38844,1.19447,1.45222,0.60078,0.52698,0.50376,0.26833,1.68918,1.28369,1.71062,0.000976293,0.000976293,0.000976293
34,3039.87,1.37907,1.16617,1.42644,0.57546,0.49664,0.48166,0.25211,1.73425,1.39711,1.73304,0.000962146,0.000962146,0.000962146
35,3129.74,1.3704,1.15685,1.4334,0.59889,0.48843,0.48,0.24533,1.78437,1.3477,1.81384,0.000947999,0.000947999,0.000947999
36,3219.54,1.38048,1.16773,1.43943,0.57909,0.50758,0.48996,0.26783,1.70194,1.31806,1.72677,0.000933851,0.000933851,0.000933851
37,3309.67,1.35554,1.13263,1.41711,0.5884,0.49199,0.48648,0.25758,1.7059,1.35579,1.74473,0.000919704,0.000919704,0.000919704
38,3399.53,1.35506,1.12563,1.4119,0.60956,0.49936,0.47854,0.25313,1.71975,1.34692,1.73774,0.000905557,0.000905557,0.000905557
39,3491.04,1.33916,1.10635,1.41054,0.59774,0.50087,0.49339,0.266,1.68156,1.32752,1.72206,0.00089141,0.00089141,0.00089141
40,3581.76,1.36748,1.13056,1.40889,0.61593,0.46536,0.48136,0.24115,1.82189,1.35905,1.84161,0.000877263,0.000877263,0.000877263
41,3671.55,1.3443,1.12452,1.41451,0.5734,0.50533,0.47889,0.25872,1.68105,1.39096,1.73208,0.000863116,0.000863116,0.000863116
42,3761.17,1.32597,1.0899,1.39427,0.63277,0.49605,0.50255,0.26441,1.72758,1.332,1.74091,0.000848969,0.000848969,0.000848969
43,3848.44,1.34153,1.11315,1.40112,0.60622,0.50173,0.49909,0.27231,1.62932,1.27906,1.67357,0.000834822,0.000834822,0.000834822
44,3933.63,1.32023,1.08229,1.3966,0.61816,0.5063,0.49761,0.26417,1.66505,1.26494,1.72013,0.000820675,0.000820675,0.000820675
45,4016.55,1.31685,1.06659,1.38921,0.64333,0.5005,0.49121,0.26071,1.71382,1.30881,1.7619,0.000806528,0.000806528,0.000806528
46,4100.15,1.31208,1.06638,1.38251,0.60716,0.51422,0.49648,0.27105,1.65285,1.27007,1.68778,0.00079238,0.00079238,0.00079238
47,4182.85,1.32218,1.07115,1.39017,0.60588,0.52152,0.48802,0.26361,1.68938,1.30897,1.71678,0.000778233,0.000778233,0.000778233
48,4266.73,1.30668,1.05521,1.37592,0.56272,0.53871,0.49453,0.26915,1.64313,1.25681,1.69961,0.000764086,0.000764086,0.000764086
49,4349.41,1.30041,1.04879,1.37761,0.64372,0.5118,0.49235,0.27293,1.6152,1.28938,1.67809,0.000749939,0.000749939,0.000749939
50,4437.47,1.29596,1.03704,1.3655,0.65123,0.51681,0.50601,0.26491,1.69633,1.26833,1.71357,0.000735792,0.000735792,0.000735792
51,4526.77,1.28118,1.03235,1.36569,0.63045,0.51529,0.49576,0.2658,1.69122,1.30045,1.71195,0.000721645,0.000721645,0.000721645
52,4616.28,1.29931,1.0491,1.37304,0.61102,0.51672,0.4866,0.26757,1.63219,1.28929,1.65956,0.000707498,0.000707498,0.000707498
53,4705.89,1.28602,1.01645,1.36346,0.62228,0.50997,0.48995,0.26587,1.68901,1.33099,1.69862,0.000693351,0.000693351,0.000693351
54,4796.09,1.27095,1.00066,1.35128,0.58244,0.50997,0.48281,0.2632,1.69778,1.30864,1.7221,0.000679204,0.000679204,0.000679204
55,4886.21,1.28316,1.02878,1.36157,0.62416,0.51768,0.49316,0.2664,1.68069,1.3155,1.71063,0.000665057,0.000665057,0.000665057
56,4976.53,1.26954,0.99523,1.35323,0.59545,0.52347,0.48508,0.25406,1.73311,1.3494,1.73112,0.000650909,0.000650909,0.000650909
57,5066.49,1.26628,0.99779,1.34596,0.64426,0.51383,0.49964,0.2763,1.61863,1.2935,1.65036,0.000636762,0.000636762,0.000636762
