filename_video,frame_nomor,x1,y1,x2,y2,label_object,speed_ground_truth
std_14813939_1080_1920_30fps.mp4,150,-10,262,10,798,MOTOR,42
std_14813939_1080_1920_30fps.mp4,180,488,216,1469,651,MOTOR,60
std_14813939_1080_1920_30fps.mp4,180,1027,373,1105,405,PAKAI HELM,60
std_14813939_1080_1920_30fps.mp4,240,428,237,1337,710,MOTOR,40
std_14813939_1080_1920_30fps.mp4,240,1137,343,1271,373,PAKAI HELM,40
std_14813939_1080_1920_30fps.mp4,270,18,245,69,738,MOTOR,38
std_14813939_1080_1920_30fps.mp4,30,302,190,921,576,MOTOR,45
std_14813939_1080_1920_30fps.mp4,30,182,190,585,580,MOTOR,35
std_14813939_1080_1920_30fps.mp4,30,139,184,454,577,MOTOR,35
std_14813939_1080_1920_30fps.mp4,30,321,195,970,603,MOTOR,40
std_14813939_1080_1920_30fps.mp4,30,388,188,1174,576,MOTOR,40
std_14813939_1080_1920_30fps.mp4,30,629,376,646,387,PAKAI HELM,40
std_14813939_1080_1920_30fps.mp4,60,52,184,187,569,PAKAI HELM,35
std_14813939_1080_1920_30fps.mp4,60,234,189,713,573,PAKAI HELM,40
std_14813939_1080_1920_30fps.mp4,60,234,195,714,594,MOTOR,40
std_14813939_1080_1920_30fps.mp4,60,253,191,767,582,MOTOR,40
std_14813939_1080_1920_30fps.mp4,60,52,193,178,588,MOTOR,35
std_14813939_1080_1920_30fps.mp4,60,167,190,502,587,MOTOR,35
std_14813939_1080_1920_30fps.mp4,60,292,192,880,580,MOTOR,40
std_14813939_1080_1920_30fps.mp4,60,181,191,552,579,MOTOR,40
std_14813939_1080_1920_30fps.mp4,90,-4,190,4,573,MOTOR,35
std_14813939_1080_1920_30fps.mp4,90,107,188,334,577,MOTOR,40
std_14813939_1080_1920_30fps.mp4,90,34,193,144,582,MOTOR,40
std_14813939_1080_1920_30fps.mp4,90,87,191,283,577,MOTOR,40
std_14813939_1080_1920_30fps.mp4,90,132,189,408,573,MOTOR,45
std_14813939_1080_1920_30fps.mp4,90,185,206,557,622,MOTOR,45
std_14813939_1080_1920_30fps.mp4,90,330,376,362,391,PAKAI HELM,45
std_14813946_1080_1920_30fps.mp4,120,569,220,1718,659,MOTOR,20
std_14813946_1080_1920_30fps.mp4,120,612,217,1851,648,MOTOR,20
