filename_video,avg_fps,max_memory_mb,total_time_sec
std_14813939_1080_1920_30fps.mp4,31.59,1067.6,12.31
std_14813946_1080_1920_30fps.mp4,27.13,1065.11,21.8
std_5210841-uhd_3840_2160_30fps.mp4,31.4,1066.95,46.57
std_VID_20251129_140711.mp4,28.54,1067.06,8.3
std_VID_20251201_155431.mp4,28.7,1067.91,10.71
std_VID_20251201_155912.mp4,28.96,1067.72,14.57
std_VID_20251201_155930.mp4,25.33,1068.67,20.35
std_VID_20251201_155948.mp4,27.58,1051.9,21.5
std_VID_20251201_160017.mp4,28.59,1055.64,14.68
std_VID_20251201_160045.mp4,30.91,1054.98,21.7
std_VID_20251201_160105.mp4,31.23,642.68,13.47
std_VID_20251201_160129.mp4,30.26,643.74,21.37
std_VID_20251201_160147.mp4,29.14,643.02,17.74
std_VID_20251201_160200.mp4,29.22,643.0,13.5
std_VID_20251201_160213.mp4,29.26,642.52,13.76
std_VID_20251201_160243.mp4,32.35,641.66,10.6
std_VID_20251201_160500.mp4,31.19,643.36,19.02
std_VID_20251201_160514.mp4,31.86,642.6,13.86
std_VID_20251201_160537.mp4,30.6,642.62,20.08
std_VID_20251201_160552.mp4,30.33,641.97,14.37
std_VID_20251201_160606.mp4,30.43,642.21,14.89
std_VID_20251201_160625.mp4,30.11,642.8,14.93
std_VID_20251201_160643.mp4,31.14,643.47,14.89
std_VID_20251201_160728.mp4,29.42,643.34,35.59
std_VID_20251201_160752.mp4,29.34,640.79,18.28
std_VID_20251201_161128.mp4,30.69,641.39,13.86
std_VID_20251201_161142.mp4,30.06,641.34,15.87
std_VID_20251201_161159.mp4,30.5,640.82,16.02
std_VID_20251201_161214.mp4,30.56,608.79,13.04
std_VID_20251201_161230.mp4,29.93,608.84,17.29
std_VID_20251201_161240.mp4,29.91,608.59,9.12
std_VID_20251201_161259.mp4,29.49,609.7,17.57
std_VID_20251201_161319.mp4,28.73,609.18,17.97
std_VID_20251201_161333.mp4,27.93,609.04,15.1
std_VID_20251201_161627.mp4,26.48,607.74,15.11
std_VID_20251201_161644.mp4,26.18,608.19,18.52
std_VID_20251201_171503.mp4,24.76,608.7,15.99
std_VID_20251201_171520.mp4,24.96,608.84,15.95
std_VID_20251201_171727.mp4,25.47,609.35,15.59
