filename_video,avg_fps,max_memory_mb,total_time_sec
std_14813939_1080_1920_30fps.mp4,37.45,663.57,12.16
std_14813946_1080_1920_30fps.mp4,28.67,664.8,22.53
std_5210841-uhd_3840_2160_30fps.mp4,49.48,666.91,35.45
std_VID_20251129_140711.mp4,36.26,649.02,6.99
std_VID_20251201_155431.mp4,45.11,649.11,8.08
std_VID_20251201_155912.mp4,39.84,649.0,12.61
std_VID_20251201_155930.mp4,20.06,649.09,31.04
std_VID_20251201_155948.mp4,27.06,647.92,23.72
std_VID_20251201_160017.mp4,20.42,649.9,24.51
std_VID_20251201_160045.mp4,42.42,650.02,17.59
std_VID_20251201_160105.mp4,54.88,649.76,9.16
std_VID_20251201_160129.mp4,36.51,650.75,21.44
std_VID_20251201_160147.mp4,27.57,650.43,18.97
std_VID_20251201_160200.mp4,25.67,650.04,15.46
std_VID_20251201_160213.mp4,32.98,650.34,14.4
std_VID_20251201_160243.mp4,46.4,649.21,8.14
std_VID_20251201_160500.mp4,46.19,651.41,16.43
std_VID_20251201_160514.mp4,39.78,650.54,18.43
std_VID_20251201_160537.mp4,48.62,650.64,19.74
std_VID_20251201_160552.mp4,27.55,649.79,22.54
std_VID_20251201_160606.mp4,28.39,650.51,22.42
std_VID_20251201_160625.mp4,31.01,642.23,19.48
std_VID_20251201_160643.mp4,49.84,643.05,12.46
std_VID_20251201_160728.mp4,36.85,642.25,35.35
std_VID_20251201_160752.mp4,23.62,640.21,28.53
std_VID_20251201_161128.mp4,60.55,640.39,9.49
std_VID_20251201_161142.mp4,35.41,640.12,15.31
std_VID_20251201_161159.mp4,42.27,639.88,15.62
std_VID_20251201_161214.mp4,58.23,639.83,8.35
std_VID_20251201_161230.mp4,58.59,640.24,10.96
std_VID_20251201_161240.mp4,53.21,639.7,6.33
std_VID_20251201_161259.mp4,49.47,640.74,14.35
std_VID_20251201_161319.mp4,60.6,640.87,10.11
std_VID_20251201_161333.mp4,47.19,640.26,11.9
std_VID_20251201_161627.mp4,19.83,639.73,19.24
std_VID_20251201_161644.mp4,17.31,639.32,29.4
std_VID_20251201_171503.mp4,14.46,640.29,27.42
std_VID_20251201_171520.mp4,16.17,640.83,25.63
std_VID_20251201_171727.mp4,16.55,625.14,25.22
