epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6716,1.6475,2.23526,1.59301,0.37845,0.35217,0.29057,0.1346,1.79027,2.27651,1.82183,0.000474549,0.000474549,0.000474549
2,169.123,1.64914,1.86552,1.60767,0.42256,0.30326,0.29604,0.12723,2.00017,2.22553,2.07989,0.000932055,0.000932055,0.000932055
3,261.013,1.65746,1.77576,1.62174,0.42244,0.36226,0.34482,0.16732,1.83828,1.90504,1.86794,0.0013707,0.0013707,0.0013707
4,352.141,1.62891,1.66975,1.59493,0.44857,0.38222,0.38147,0.18988,1.77038,1.78181,1.82158,0.00134412,0.00134412,0.00134412
5,443.978,1.58119,1.59544,1.57213,0.4592,0.41734,0.3931,0.20548,1.70168,1.69861,1.75639,0.00131582,0.00131582,0.00131582
6,537.112,1.54816,1.52203,1.54559,0.44892,0.40058,0.40289,0.21327,1.69173,1.61602,1.72651,0.00128753,0.00128753,0.00128753
7,618.235,1.51291,1.45927,1.52344,0.50696,0.43231,0.41409,0.23449,1.60791,1.58074,1.68762,0.00125923,0.00125923,0.00125923
8,709.045,1.48784,1.40573,1.49072,0.559,0.37418,0.42611,0.24897,1.62175,1.54341,1.65259,0.00123094,0.00123094,0.00123094
9,800.722,1.47986,1.37242,1.4842,0.46826,0.41884,0.4128,0.20891,1.769,1.56126,1.76883,0.00120265,0.00120265,0.00120265
10,893.75,1.45238,1.32947,1.46465,0.5315,0.48709,0.45278,0.25199,1.59855,1.46788,1.64598,0.00117435,0.00117435,0.00117435
11,985.383,1.43543,1.29198,1.45366,0.53713,0.46181,0.44967,0.25408,1.60654,1.44376,1.62983,0.00114606,0.00114606,0.00114606
12,1077.48,1.42325,1.26949,1.4399,0.53946,0.45603,0.43833,0.23587,1.66611,1.53199,1.66735,0.00111776,0.00111776,0.00111776
13,1170.08,1.39951,1.24088,1.42716,0.52055,0.45583,0.45455,0.26573,1.54971,1.38108,1.59594,0.00108947,0.00108947,0.00108947
14,1262.13,1.3793,1.19892,1.41205,0.55863,0.46057,0.46004,0.26677,1.54479,1.34672,1.5777,0.00106118,0.00106118,0.00106118
15,1353.71,1.36338,1.16903,1.39134,0.55219,0.48631,0.4785,0.27007,1.56821,1.36257,1.6159,0.00103288,0.00103288,0.00103288
16,1445.45,1.34618,1.15083,1.38387,0.5549,0.47878,0.46403,0.26601,1.57162,1.29982,1.58948,0.00100459,0.00100459,0.00100459
